Edit_Instruction,Intensity,Modified Prompt,Negative Prompt
add fog,high,Add dense fog with reduced visibility.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,high,Introduce heavy fog around the objects.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,high,make it a foggy and heavily overcast,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,light,Add mist.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,light,Introduce a gentle fog in the background.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,light,Add a faint fog effect around the objects.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,light,add a soft haze.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,light,Create a faint foggy atmosphere.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,moderate,Add moderate fog to the scene.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,moderate,add fog covering specific areas of the objects.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,moderate,Introduce a noticeable fog with medium density.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,moderate,Create a misty environment with fog patches.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add fog,moderate,Add a foggy morning effect,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, purple, forest, buildings"
add rain,high,Add a heavy downpour.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,high,add thunderstorm rain and lightning.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,high,Introduce torrential rain.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,high,Add pouring rain,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,high,add a storm with intense rain and dark clouds.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,high,Add rainstorm,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,high,add severe rainfall,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,light,Add a light drizzle to the scene.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,light,add light shower rain in the foreground.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,light,add a mist of rain.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,moderate,add rainfall effect in the foreground.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add rain,moderate,Add a steady rainfall to the scene.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human"
add snow,high,Create a snowstorm with wind and snow.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,high,Create a blizzard with intense snow and low visibility.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,high,Create a wintry scene with intense snowfall.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,high,Add a blizzard,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,light,Add a light snowfall to the scene.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,light,Create a powder of snow on the objects.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,light,Introduce a gentle flurry of snowflakes in the foreground.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,light,Add small snow patches to the objects.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,light,Add a sprinkle of snowflakes to the scene.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,light,add a gentle snow shower effect to the foreground.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,moderate,Create a winter scene with fresh snow.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
add snow,moderate,Add consistent snowfall to the scene.,"invisible change, change objects in the image, add new objects, drastically change the lighting, add landscape, unrealistic weather, change color, monochrome, add human, trees"
